Date,Open,High,Low,Close
5/9/2020,213.14,214.74,209.07,211.60
5/10/2020,211.55,211.55,182.71,188.60
5/11/2020,188.63,191.36,180.72,185.91
5/12/2020,185.88,191.60,185.70,189.31
5/13/2020,189.37,200.20,189.13,199.19
5/14/2020,198.89,204.12,196.87,202.95
5/15/2020,202.96,203.57,193.76,195.62
5/16/2020,195.61,202.77,194.50,200.68
5/17/2020,200.61,209.16,200.10,207.16
5/18/2020,207.18,215.91,207.11,214.53
5/19/2020,214.60,214.60,210.14,213.45
5/20/2020,213.45,214.72,207.98,210.10
5/21/2020,210.13,211.63,193.35,199.88
5/22/2020,199.84,208.59,198.04,207.17
5/23/2020,207.19,210.39,205.29,208.69
5/24/2020,208.72,210.60,202.37,202.37
5/25/2020,201.98,206.36,200.67,205.32
5/26/2020,205.26,205.75,200.26,201.90
5/27/2020,201.89,208.86,201.79,208.86
5/28/2020,208.89,220.28,206.24,219.84
5/29/2020,219.93,224.22,218.24,220.68
5/30/2020,220.72,243.94,218.74,242.35
5/31/2020,242.35,244.05,230.05,230.98
6/1/2020,230.86,248.24,230.49,246.99
6/2/2020,246.83,252.22,233.23,237.22
6/3/2020,237.40,244.18,235.46,244.18
6/4/2020,244.11,245.93,236.77,244.43
6/5/2020,244.35,247.33,240.68,241.22
6/6/2020,241.20,245.98,239.72,241.93
6/7/2020,241.91,245.44,236.33,245.17
6/8/2020,245.18,246.64,241.54,246.31
6/9/2020,246.18,248.34,242.34,244.91
6/10/2020,244.82,248.65,242.82,247.44
6/11/2020,247.55,249.89,229.94,231.70
6/12/2020,231.63,239.35,229.65,237.49
6/13/2020,237.54,239.19,235.89,238.91
6/14/2020,238.97,239.10,232.96,234.11
6/15/2020,234.06,234.24,221.24,229.93
6/16/2020,229.76,236.39,228.43,234.42
6/17/2020,234.49,235.95,229.34,233.03
6/18/2020,232.90,234.57,228.95,232.10
6/19/2020,231.95,232.15,226.80,227.14
6/20/2020,226.98,231.45,226.64,229.27
6/21/2020,229.22,232.36,228.49,228.99
6/22/2020,229.00,243.78,228.93,242.53
6/23/2020,242.54,244.86,239.76,244.14
6/24/2020,244.19,248.51,232.81,235.77
6/25/2020,235.70,236.05,230.30,232.94
6/26/2020,232.88,233.90,229.26,229.67
6/27/2020,229.63,232.49,220.56,222.96
6/28/2020,222.91,228.60,219.47,225.35
6/29/2020,225.36,229.90,222.25,228.19
6/30/2020,227.97,229.48,224.82,226.32
7/1/2020,226.13,232.76,224.84,231.11
7/2/2020,231.29,232.40,225.46,229.39
7/3/2020,229.32,229.63,224.91,225.39
7/4/2020,225.29,230.05,225.13,229.07
7/5/2020,228.98,229.86,224.54,227.66
7/6/2020,227.69,242.13,227.03,241.51
7/7/2020,240.97,242.68,234.22,239.08
7/8/2020,239.16,248.31,238.40,246.67
7/9/2020,246.75,247.29,239.90,243.02
7/10/2020,242.87,242.88,236.73,240.98
7/11/2020,241.04,241.53,238.33,239.46
7/12/2020,239.46,243.31,237.77,242.13
7/13/2020,242.18,244.31,238.23,239.60
7/14/2020,239.98,242.00,237.80,240.21
7/15/2020,240.14,241.40,237.10,238.42
7/16/2020,238.45,239.01,231.62,233.64
7/17/2020,233.69,234.42,232.11,232.77
7/18/2020,232.86,236.54,232.32,235.48
7/19/2020,235.46,239.16,233.28,238.49
7/20/2020,238.49,239.58,234.85,236.15
7/21/2020,236.30,246.19,235.68,245.02
7/22/2020,245.04,262.99,242.48,262.19
7/23/2020,262.39,277.58,261.05,274.69
7/24/2020,274.72,286.19,269.24,279.22
7/25/2020,279.03,306.74,279.03,304.06
7/26/2020,303.69,316.39,300.27,309.64
7/27/2020,309.66,330.70,309.66,321.51
7/28/2020,321.83,325.91,307.72,316.66
7/29/2020,316.56,324.38,313.11,318.19
7/30/2020,318.14,338.63,315.75,334.59
7/31/2020,334.63,348.61,329.34,345.55
8/1/2020,345.80,388.85,343.59,385.20
8/2/2020,385.55,411.23,357.14,370.67
8/3/2020,371.13,396.51,369.34,386.30
8/4/2020,386.16,400.70,382.99,389.88
8/5/2020,389.71,406.30,386.22,401.59
8/6/2020,401.58,403.49,392.60,394.96
8/7/2020,395.23,398.25,367.94,379.51
8/8/2020,379.55,393.99,377.35,393.99
8/9/2020,395.31,399.74,385.83,391.12
8/10/2020,391.04,399.38,391.04,395.89
8/11/2020,395.89,398.48,370.86,380.38
8/12/2020,380.06,391.31,367.92,391.02
8/13/2020,390.84,432.90,379.71,428.74
8/14/2020,428.68,444.58,423.35,437.40
8/15/2020,437.56,441.75,429.87,433.35
8/16/2020,433.35,436.27,415.09,433.79
8/17/2020,433.97,442.73,422.65,429.53
8/18/2020,429.67,432.58,419.67,423.67
8/19/2020,423.74,427.02,396.68,406.46
8/20/2020,406.76,418.73,404.03,416.44
8/21/2020,416.15,418.64,387.44,389.13
8/22/2020,389.03,396.47,382.81,395.84
8/23/2020,395.56,396.49,385.04,391.38
8/24/2020,391.68,409.39,389.31,408.14
8/25/2020,408.07,408.53,374.36,384.00
8/26/2020,383.98,391.87,378.71,386.47
8/27/2020,386.61,395.35,374.87,382.63
8/28/2020,382.63,397.76,381.27,395.87
8/29/2020,395.69,405.62,393.04,399.92
8/30/2020,399.62,428.66,399.61,428.40
8/31/2020,428.51,438.56,419.77,435.08
9/1/2020,434.87,487.21,432.08,477.05
9/2/2020,477.01,480.33,424.46,440.04
9/3/2020,440.24,449.53,381.13,385.67
9/4/2020,384.67,402.41,371.64,388.24
9/5/2020,388.04,394.17,316.77,335.26
9/6/2020,335.33,359.76,319.04,353.36
9/7/2020,353.45,358.21,326.25,352.67
9/8/2020,353.20,355.56,328.82,337.60
9/9/2020,337.82,359.16,332.17,351.11
9/10/2020,351.43,377.39,351.11,368.10
9/11/2020,368.12,376.63,355.58,374.70
9/12/2020,374.60,387.54,367.84,387.18
